name,type,variable_description,variable,value,annotation,year,date,geography_id,change_rate
"Crozier CDP, Arizona",place,Median Household Income,B19013_001E,-666666666.0,"Either no sample observations or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest interval or upper interval of an open-ended distribution.",2011,2011-12-31,1600000US0417460,
"Crystal Beach CDP, Arizona",place,Median Household Income,B19013_001E,42885.0,,2011,2011-12-31,1600000US0417500,
"Cutter CDP, Arizona",place,Median Household Income,B19013_001E,-666666666.0,"Either no sample observations or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest interval or upper interval of an open-ended distribution.",2011,2011-12-31,1600000US0417810,
"Dateland CDP, Arizona",place,Median Household Income,B19013_001E,11932.0,,2011,2011-12-31,1600000US0418160,
"Deer Creek CDP, Arizona",place,Median Household Income,B19013_001E,28571.0,,2011,2011-12-31,1600000US0418448,
"Del Muerto CDP, Arizona",place,Median Household Income,B19013_001E,16184.0,,2011,2011-12-31,1600000US0418490,
"Dennehotso CDP, Arizona",place,Median Household Income,B19013_001E,17083.0,,2011,2011-12-31,1600000US0418580,
"Desert Hills CDP, Arizona",place,Median Household Income,B19013_001E,35991.0,,2011,2011-12-31,1600000US0418740,
"Dewey-Humboldt town, Arizona",place,Median Household Income,B19013_001E,41906.0,,2011,2011-12-31,1600000US0419145,
"Dilkon CDP, Arizona",place,Median Household Income,B19013_001E,22569.0,,2011,2011-12-31,1600000US0419280,
"Dolan Springs CDP, Arizona",place,Median Household Income,B19013_001E,28044.0,,2011,2011-12-31,1600000US0419630,
"Doney Park CDP, Arizona",place,Median Household Income,B19013_001E,73090.0,,2011,2011-12-31,1600000US0419740,
"Donovan Estates CDP, Arizona",place,Median Household Income,B19013_001E,41211.0,,2011,2011-12-31,1600000US0419790,
"Douglas city, Arizona",place,Median Household Income,B19013_001E,27356.0,,2011,2011-12-31,1600000US0420050,
"Dragoon CDP, Arizona",place,Median Household Income,B19013_001E,56630.0,,2011,2011-12-31,1600000US0420330,
"Drexel Heights CDP, Arizona",place,Median Household Income,B19013_001E,46794.0,,2011,2011-12-31,1600000US0420540,
"Dripping Springs CDP, Arizona",place,Median Household Income,B19013_001E,48000.0,,2011,2011-12-31,1600000US0420560,
"Drysdale CDP, Arizona",place,Median Household Income,B19013_001E,32279.0,,2011,2011-12-31,1600000US0420570,
"Dudleyville CDP, Arizona",place,Median Household Income,B19013_001E,26042.0,,2011,2011-12-31,1600000US0420680,
"Duncan town, Arizona",place,Median Household Income,B19013_001E,41563.0,,2011,2011-12-31,1600000US0420750,
"Eagar town, Arizona",place,Median Household Income,B19013_001E,49286.0,,2011,2011-12-31,1600000US0420960,
"East Fork CDP, Arizona",place,Median Household Income,B19013_001E,13780.0,,2011,2011-12-31,1600000US0421310,
"East Globe CDP, Arizona",place,Median Household Income,B19013_001E,-666666666.0,"Either no sample observations or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest interval or upper interval of an open-ended distribution.",2011,2011-12-31,1600000US0421410,
"East Verde Estates CDP, Arizona",place,Median Household Income,B19013_001E,50066.0,,2011,2011-12-31,1600000US0421545,
